Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,0,5,0,54,0,0.0,0.008378049130288957,2,Train,0.008378049130288957,0.007235847576264741,,,,,0.0,,0,1,0
2026-07-22,0,5,1,49,0,0.0,0.007592983088246423,2,Train,0.007592983088246423,0.006517710349606768,,,,,0.0,,0,1,0
2026-07-22,0,50,0,92,0,0.0,0.02387527434290239,5,Train,0.02387527434290239,0.021014033197511543,,,,,0.0,,0,1,0
2026-07-22,0,50,1,89,0,0.0,0.024422624590586674,5,Train,0.024422624590586674,0.02140695021683049,,,,,0.0,,0,1,0
2026-07-22,0,522,0,43,0,0.0,0.055793765173657965,6,Train,0.055793765173657965,0.04900545066154461,,,,,0.0,,0,1,0
2026-07-22,0,545,0,15,0,0.0,0.027590521156055568,5,Train,0.027590521156055568,0.023544601286934985,,,,,0.0,,0,1,0
2026-07-22,0,545,1,3,0,0.0,0.002053141302307449,1,Train,0.002053141302307449,0.0016711625208794222,,,,,0.0,,0,1,0
2026-07-22,0,550,0,26,0,0.0,0.07024759313702232,7,Train,0.07024759313702232,0.061094583097221385,,,,,0.0,,0,1,0
2026-07-22,0,550,1,25,0,0.0,0.07117253715993892,7,Train,0.07117253715993892,0.061633468611100764,,,,,0.0,,0,1,0
2026-07-22,0,554,0,17,0,0.0,0.049250661650144294,6,Train,0.049250661650144294,0.042907291547873,,,,,0.0,,0,1,0
2026-07-22,0,60,0,83,0,0.0,0.02187704343149585,4,Train,0.02187704343149585,0.018995443963734693,,,,,0.0,,0,1,0
2026-07-22,0,60,1,91,0,0.0,0.0284384440474423,5,Train,0.0284384440474423,0.024687719790971143,,,,,0.0,,0,1,0
2026-07-22,0,62,0,118,0,0.0,0.040985188018498146,6,Train,0.040985188018498146,0.035815582700056074,,,,,0.0,,0,1,0
2026-07-22,0,62,1,105,0,0.0,0.03570782794138436,5,Train,0.03570782794138436,0.03099293124627507,,,,,0.0,,0,1,0
2026-07-22,0,65,0,74,0,0.0,0.03011048026986424,5,Train,0.03011048026986424,0.02626887128658631,,,,,0.0,,0,1,0
2026-07-22,0,65,1,34,0,0.0,0.007503063315695012,2,Train,0.007503063315695012,0.006368971158185937,,,,,0.0,,0,1,0
2026-07-22,0,67,0,59,0,0.0,0.029427685270186743,5,Train,0.029427685270186743,0.025697716166832682,,,,,0.0,,0,1,0
2026-07-22,0,67,1,17,0,0.0,0.0031169679869204833,1,Train,0.0031169679869204833,0.0026113349245307977,,,,,0.0,,0,1,0
2026-07-22,0,7,0,99,0,0.0,0.10188507622925917,7,Train,0.10188507622925917,0.08854498053276107,,,,,0.0,,0,1,0
2026-07-22,0,7,1,170,0,0.0,0.313815560872527,9,Train,0.313815560872527,0.27657209645710157,,,,,0.0,,0,1,0
2026-07-22,0,70,0,32,0,0.0,0.08530226394239718,7,Train,0.08530226394239718,0.07432861211291092,,,,,0.0,,0,1,0
2026-07-22,0,70,1,41,0,0.0,0.14831166962401862,8,Train,0.14831166962401862,0.12982663740253125,,,,,0.0,,0,1,0
2026-07-22,0,75,0,107,0,0.0,0.03238263224922651,5,Train,0.03238263224922651,0.02843262148335806,,,,,0.0,,0,1,0
2026-07-22,0,75,1,76,0,0.0,0.018332669016108832,4,Train,0.018332669016108832,0.015874612846489028,,,,,0.0,,0,1,0
2026-07-22,0,8,0,69,0,0.0,0.07654480108805671,7,Train,0.07654480108805671,0.06706005553110102,,,,,0.0,,0,1,0
2026-07-22,0,8,1,66,0,0.0,0.07664764416977106,7,Train,0.07664764416977106,0.06684917031858338,,,,,0.0,,0,1,0
